Base_Height,H_Feb04,H_Feb14,H_Feb21,H_Feb28,Growth_Feb04,Growth_Feb14,Growth_Feb21,Growth_Feb28,Rate_Feb04_Feb14,Rate_Feb14_Feb21,Rate_Feb21_Feb28,Total_Growth,Growth_Acceleration,Survival_Score,Treatment_Encoded,Alive_Feb14,Alive_Feb21,Alive_Feb28,Target_Accession
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,9
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,9
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,9
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,9
23,33,49.9375,57,65,10,27,34,42,1.69375,1.008928571,1.142857143,42,-0.550892857,1,0,1,1,1,1
15.5,29,48,55,58.5,13.5,32.5,39.5,43,1.9,1,0.5,43,-1.4,1,0,1,1,1,1
22.2,30.5,49.9375,59.4,65,8.3,33.8,37.2,42.8,1.94375,1.351785714,0.8,42.8,-1.14375,1,0,1,1,1,1
15.5,23.5,34.7,38,41.1,8,19.2,22.5,25.6,1.12,0.471428571,0.442857143,25.6,-0.677142857,1,0,1,1,1,1
21,32,34,40,50,11,13,19,29,0.2,0.857142857,1.428571429,29,1.228571429,1,0,1,1,1,1
19,26.5,35,42,50,7.5,16,23,31,0.85,1,1.142857143,31,0.292857143,1,0,1,1,1,1
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,1
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,1
19.5,34,44.7,48,55.5,14.5,25.2,28.5,36,1.07,0.471428571,1.071428571,36,0.001428571,1,0,1,1,1,1
16.5,29,41,43.2,44.5,12.5,24.5,26.7,28,1.2,0.314285714,0.185714286,28,-1.014285714,1,0,1,1,1,1
21,28.5,43,47,52,7.5,22,26,31,1.45,0.571428571,0.714285714,31,-0.735714286,1,0,1,1,1,1
11.5,39,49.9375,60,70.6,18.4875,34.4,48.5,59.1,1.09375,1.4375,1.514285714,59.1,0.420535714,1,0,1,1,1,1
20,26,39,41.5,48.5,6,19,21.5,28.5,1.3,0.357142857,1,28.5,-0.3,1,0,1,1,1,5
17,21,36.5,41.5,49,4,19.5,24.5,32,1.55,0.714285714,1.071428571,32,-0.478571429,1,0,1,1,1,5
19,26,48,50,50.5,7,29,31,31.5,2.2,0.285714286,0.071428571,31.5,-2.128571429,1,0,1,1,1,5
15.4,29.5,38.5,49,54,14.1,23.1,33.6,38.6,0.9,1.5,0.714285714,38.6,-0.185714286,1,0,1,1,1,5
19,28,40.3,47,51,9,21.3,28,32,1.23,0.957142857,0.571428571,32,-0.658571429,1,0,1,1,1,5
18.3,25,39.5,47,51.3,6.7,21.2,28.7,33,1.45,1.071428571,0.614285714,33,-0.835714286,1,0,1,1,1,5
18.5,25,34,39,45.3,6.5,15.5,20.5,26.8,0.9,0.714285714,0.9,26.8,-4.44089E-16,1,0,1,1,1,5
19.7,25,40,45,46.3,5.3,20.3,25.3,26.6,1.5,0.714285714,0.185714286,26.6,-1.314285714,1,0,1,1,1,5
